Sample_ID,Central_Age_Ma,Central_Age_Error_Ma,Pooled_Age_Ma,Pooled_Age_Error_Ma,Dispersion_Pct,P_chi2,n_grains,MTL_um,MTL_SD_um,n_tracks,Dpar_um,U_ppm,Th_ppm,Cl_wt_pct
MU19-05,245.3,49.2,168.9,57.5,61.36,0.03,22,11.19,1.99,108,1.6,3.32,1.79,0.017
MU19-06,110.5,6.2,106.5,7.6,16.42,2.31,32,10.62,2.39,122,1.41,7.93,1.09,0.021
MU19-08,289.6,11.7,281.0,11.8,15.37,0.08,35,11.30,1.85,125,1.63,8.88,0.74,0.07
MU19-09,203.5,15.0,189.0,19.2,33.62,0,33,10.79,1.82,109,1.52,4.25,0.2,0.091
MU19-11,148.3,7.9,144.4,7.2,0.0,93.34,30,11.20,1.89,108,1.37,7.17,6.58,0.013
MU19-12,182.1,21.6,155.1,25.7,44.59,0.15,33,11.15,1.97,104,2.27,1.26,0.85,0.019
MU19-13,216.6,4.6,215.1,4.6,4.72,22.78,32,10.96,2.02,102,1.86,44.29,4.44,0.006
MU19-14,244.5,14.5,230.6,16.3,24.09,0,32,10.60,1.69,106,1.4,13.89,6.27,0.044
MU19-15,290.6,28.1,258.3,32.5,34.4,0.07,27,11.25,1.37,117,1.37,3.61,0.66,0.005
MU19-16,246.8,19.6,222.7,23.2,27.67,0.52,31,10.92,1.68,112,1.31,4.87,1.59,0.005
MU19-17,282.1,16.4,273.2,18.3,22.84,0.03,33,10.87,1.71,103,1.39,4.27,3.55,0.06
MU19-18,324.8,15.4,317.3,16.2,0.0,75.19,28,11.28,1.23,101,1.31,3.44,0.07,
MU19-20,283.1,24.3,269.7,22.0,41.4,0,33,11.04,1.32,104,1.65,4.09,0.08,
MU19-22,138.3,29.9,169.7,45.9,70.37,0,15,11.60,1.53,98,1.44,7.3,0.62,
MU19-23,166.0,6.8,165.4,6.8,15.35,0.09,33,10.75,2.30,102,1.26,19.05,0.73,
MU19-24,85.7,5.6,82.8,5.6,17.06,17.97,33,12.44,1.91,112,1.51,5.39,0.38,
MU19-25,138.8,5.9,135.4,6.4,9.72,18.86,33,11.97,1.91,114,1.32,6.67,0.24,
MU19-26,237.9,8.8,230.2,9.7,15.77,0,32,11.55,2.07,109,1.34,26.39,3.74,
MU19-28,148.1,9.1,143.9,8.8,15.2,12.39,24,11.72,2.02,102,1.5,12.56,0.04,
MU19-29,99.7,7.4,95.4,6.3,0.0,74.37,20,10.48,2.14,100,1.34,10.87,1.23,
MU19-30,71.1,4.1,68.8,3.5,0.0,91.16,30,12.05,2.14,99,1.24,13.33,2.19,
MU19-33,179.4,9.6,173.7,10.8,20.65,0.1,32,11.19,1.92,121,1.23,14.16,12.42,
MU19-34,258.0,14.2,257.0,15.0,20.55,0,26,11.25,1.84,107,1.46,10.1,0.74,
MU19-36,201.0,11.4,199.4,11.7,25.01,0,32,11.44,1.80,103,1.38,12.24,0.8,
MU19-37,264.2,13.9,249.9,14.8,25.47,0,31,11.47,1.95,104,1.67,16.19,0.66,
MU19-39,118.2,6.9,115.9,8.2,28.16,0,32,11.99,1.92,109,1.66,16.76,0.93,
MU19-47,175.6,9.2,166.1,9.8,8.37,7.63,33,12.09,2.11,118,2.09,5.85,0.21,
MU19-48,294.6,19.2,289.2,20.1,16.63,0.59,13,10.15,2.08,25,1.55,14.6,1.1,
MU19-49,91.4,11.8,90.5,12.0,47.4,0,24,12.26,1.65,108,1.57,7.42,0.43,
MU19-50,18.9,1.2,17.7,1.1,0.0,59.64,33,11.85,1.97,112,1.38,13.32,0.57,
MU19-51,24.0,1.9,22.2,1.8,27.43,0.51,33,12.22,2.06,102,1.28,16.1,1.14,
MU19-52,103.8,13.6,116.4,15.5,46.36,0,21,10.99,1.77,111,1.81,14.68,19.27,
MU19-53,253.3,39.3,180.6,42.6,63.23,0,24,11.23,1.97,78,1.55,9.85,3.62,
MU19-54,60.8,6.2,43.5,6.5,0.0,30.59,36,11.51,2.20,47,1.34,4.94,0.42,
