ample_no,analysis_no,he,4_he_gas_ncc,a_mean_ft,thu,uncorrected_age,corrected_age,error,1s_m_pm
urango apatite standard,,,,,,,,,
urango,22693,76862.0,4.478,1.0,22.26,31.2,31.2,1.9,
urango,22694,76865.0,3.378,1.0,21.99,30.9,30.9,1.9,
urango,22812,77188.0,5.928,1.0,21.89,31.0,31.0,1.9,
urango,22963,77509.0,8.188,1.0,19.34,31.8,31.8,2.0,
urango,23282,78207.0,7.648,1.0,21.14,31.6,31.6,2.0,
urango,23330,78757.0,2.581,1.0,22.24,31.5,31.5,2.0,
urango,23390,78866.0,3.028,1.0,16.13,31.7,31.7,2.0,
urango,23394,78973.0,4.133,1.0,22.14,31.6,31.6,2.0,
urango,23395,78976.0,3.84,1.0,21.33,31.7,31.7,2.0,
ffective uranium concentration (U ppm,,,,,,,,,
