sample_id,grain_id,n_confined_tracks,mean_track_length_um,mean_track_length_se_um,mean_track_length_sd_um,dpar_um
MU19-05,MU19-05_pooled,108.0,11.19,0.2,1.99,1.6
MU19-06,MU19-06_pooled,122.0,10.62,0.2,2.39,1.41
MU19-08,MU19-08_pooled,125.0,11.3,0.2,1.85,1.63
MU19-09,MU19-09_pooled,109.0,10.79,0.2,1.82,1.52
MU19-11,MU19-11_pooled,108.0,11.2,0.2,1.89,1.37
MU19-12,MU19-12_pooled,104.0,11.15,0.2,1.97,2.27
MU19-13,MU19-13_pooled,102.0,10.96,0.2,2.02,1.86
MU19-14,MU19-14_pooled,106.0,10.6,0.2,1.69,1.4
MU19-15,MU19-15_pooled,117.0,11.25,0.1,1.37,1.37
MU19-16,MU19-16_pooled,112.0,10.92,0.2,1.68,1.31
MU19-17,MU19-17_pooled,103.0,10.87,0.2,1.71,1.39
MU19-18,MU19-18_pooled,101.0,11.28,0.1,1.23,1.31
MU19-20,MU19-20_pooled,104.0,11.04,0.1,1.32,1.65
MU19-22,MU19-22_pooled,98.0,11.6,0.2,1.53,1.44
MU19-23,MU19-23_pooled,102.0,10.75,0.2,2.3,1.26
MU19-24,MU19-24_pooled,112.0,12.44,0.2,1.91,1.51
MU19-25,MU19-25_pooled,114.0,11.97,0.2,1.91,1.32
MU19-26,MU19-26_pooled,109.0,11.55,0.2,2.07,1.34
MU19-28,MU19-28_pooled,102.0,11.72,0.2,2.02,1.5
MU19-29,MU19-29_pooled,100.0,10.48,0.2,2.14,1.34
MU19-30,MU19-30_pooled,99.0,12.05,0.2,2.14,1.24
MU19-33,MU19-33_pooled,121.0,11.19,0.2,1.92,1.23
MU19-34,MU19-34_pooled,107.0,11.25,0.2,1.84,1.46
MU19-36,MU19-36_pooled,103.0,11.44,0.2,1.8,1.38
MU19-37,MU19-37_pooled,104.0,11.47,0.2,1.95,1.67
MU19-39,MU19-39_pooled,109.0,11.99,0.2,1.92,1.66
MU19-47,MU19-47_pooled,118.0,12.09,0.2,2.11,2.09
MU19-48,MU19-48_pooled,25.0,10.15,0.4,2.08,1.55
MU19-49,MU19-49_pooled,108.0,12.26,0.2,1.65,1.57
MU19-50,MU19-50_pooled,112.0,11.85,0.2,1.97,1.38
MU19-51,MU19-51_pooled,102.0,12.22,0.2,2.06,1.28
MU19-52,MU19-52_pooled,111.0,10.99,0.2,1.77,1.81
MU19-53,MU19-53_pooled,78.0,11.23,0.2,1.97,1.55
MU19-54,MU19-54_pooled,47.0,11.51,0.3,2.2,1.34
