sample_id,dataset_id,latitude,longitude,elevation_m,mineral_type,analysis_method,n_aft_grains
MU19-05,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,22.0
MU19-06,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,32.0
MU19-08,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,35.0
MU19-09,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-11,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,30.0
MU19-12,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-13,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,32.0
MU19-14,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,32.0
MU19-15,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,27.0
MU19-16,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,31.0
MU19-17,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-18,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,28.0
MU19-20,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-22,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,15.0
MU19-23,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-24,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-25,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-26,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,32.0
MU19-28,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,24.0
MU19-29,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,20.0
MU19-30,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,30.0
MU19-33,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,32.0
MU19-34,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,26.0
MU19-36,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,32.0
MU19-37,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,31.0
MU19-39,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,32.0
MU19-47,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-48,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,13.0
MU19-49,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,24.0
MU19-50,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-51,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,33.0
MU19-52,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,21.0
MU19-53,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,24.0
MU19-54,1,-13.5,34.8,,apatite,LA-ICP-MS AFT,36.0
