analysis_method,analyst,associated_references,chronostratigraphic_unit_age,collection_date,elevation_m,geodetic_datum,igsn,last_known_sample_archive,lat_long_precision_m,latitude,lithology,longitude,mineral_type,n_aft_grains,n_ahe_grains,sample_age_ma,sample_collector,sample_depth_m,sample_id,sample_kind,sample_method,sampling_location_information,stratigraphic_unit,vertical_datum
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,22,0,,,,MU19-05,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,32,6,,,,MU19-06,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,35,5,,,,MU19-08,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,6,,,,MU19-09,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,30,0,,,,MU19-11,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,6,,,,MU19-12,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,32,6,,,,MU19-13,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,32,6,,,,MU19-14,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,27,6,,,,MU19-15,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,31,7,,,,MU19-16,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,6,,,,MU19-17,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,28,6,,,,MU19-18,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,6,,,,MU19-20,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,15,0,,,,MU19-22,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,0,,,,MU19-23,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,5,,,,MU19-24,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT+AHe,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,6,,,,MU19-25,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,32,0,,,,MU19-26,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,24,0,,,,MU19-28,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,20,0,,,,MU19-29,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,30,0,,,,MU19-30,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,32,0,,,,MU19-33,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,26,0,,,,MU19-34,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,32,0,,,,MU19-36,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,31,0,,,,MU19-37,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,32,0,,,,MU19-39,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,0,,,,MU19-47,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,13,0,,,,MU19-48,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,24,0,,,,MU19-49,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,0,,,,MU19-50,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,33,0,,,,MU19-51,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,21,0,,,,MU19-52,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,24,0,,,,MU19-53,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
LA-ICP-MS_AFT,M_McMillan,,,,,WGS84,,,,,Unknown,,Apatite,36,0,,,,MU19-54,in situ rock,hand sample,Malawi_Rift_Central_Basin - Usisya_Border_Fault,,mean sea level
