Dpar_sd_um,Dpar_um,Dper_sd_um,Dper_um,analysis_date,analyst,angle_to_c_axis_deg,apparent_length_um,azimuth_deg,cf252_irradiation,corrected_z_depth_um,dip_deg,etching_conditions,ft_length_method,ft_software,ft_track_type,grain_id,laboratory,mean_track_length_sd_um,mean_track_length_se_um,mean_track_length_um,microscope,n_confined_tracks,objective,sample_id,sample_mount_id,true_length_um
0.4,1.6,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-05_aggregate,University of Melbourne,1.99,0.2,11.19,Unknown,108,100x oil immersion,MU19-05,,
0.2,1.41,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-06_aggregate,University of Melbourne,2.39,0.2,10.62,Unknown,122,100x oil immersion,MU19-06,,
0.2,1.63,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-08_aggregate,University of Melbourne,1.85,0.2,11.3,Unknown,125,100x oil immersion,MU19-08,,
0.2,1.52,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-09_aggregate,University of Melbourne,1.82,0.2,10.79,Unknown,109,100x oil immersion,MU19-09,,
0.1,1.37,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-11_aggregate,University of Melbourne,1.89,0.2,11.2,Unknown,108,100x oil immersion,MU19-11,,
0.3,2.27,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-12_aggregate,University of Melbourne,1.97,0.2,11.15,Unknown,104,100x oil immersion,MU19-12,,
0.2,1.86,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-13_aggregate,University of Melbourne,2.02,0.2,10.96,Unknown,102,100x oil immersion,MU19-13,,
0.1,1.4,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-14_aggregate,University of Melbourne,1.69,0.2,10.6,Unknown,106,100x oil immersion,MU19-14,,
0.1,1.37,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-15_aggregate,University of Melbourne,1.37,0.1,11.25,Unknown,117,100x oil immersion,MU19-15,,
0.1,1.31,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-16_aggregate,University of Melbourne,1.68,0.2,10.92,Unknown,112,100x oil immersion,MU19-16,,
0.1,1.39,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-17_aggregate,University of Melbourne,1.71,0.2,10.87,Unknown,103,100x oil immersion,MU19-17,,
0.1,1.31,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-18_aggregate,University of Melbourne,1.23,0.1,11.28,Unknown,101,100x oil immersion,MU19-18,,
0.1,1.65,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-20_aggregate,University of Melbourne,1.32,0.1,11.04,Unknown,104,100x oil immersion,MU19-20,,
0.1,1.44,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-22_aggregate,University of Melbourne,1.53,0.2,11.6,Unknown,98,100x oil immersion,MU19-22,,
0.1,1.26,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-23_aggregate,University of Melbourne,2.3,0.2,10.75,Unknown,102,100x oil immersion,MU19-23,,
0.1,1.51,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-24_aggregate,University of Melbourne,1.91,0.2,12.44,Unknown,112,100x oil immersion,MU19-24,,
0.1,1.32,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-25_aggregate,University of Melbourne,1.91,0.2,11.97,Unknown,114,100x oil immersion,MU19-25,,
0.1,1.34,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-26_aggregate,University of Melbourne,2.07,0.2,11.55,Unknown,109,100x oil immersion,MU19-26,,
0.2,1.5,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-28_aggregate,University of Melbourne,2.02,0.2,11.72,Unknown,102,100x oil immersion,MU19-28,,
0.1,1.34,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-29_aggregate,University of Melbourne,2.14,0.2,10.48,Unknown,100,100x oil immersion,MU19-29,,
0.1,1.24,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-30_aggregate,University of Melbourne,2.14,0.2,12.05,Unknown,99,100x oil immersion,MU19-30,,
0.1,1.23,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-33_aggregate,University of Melbourne,1.92,0.2,11.19,Unknown,121,100x oil immersion,MU19-33,,
0.1,1.46,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-34_aggregate,University of Melbourne,1.84,0.2,11.25,Unknown,107,100x oil immersion,MU19-34,,
0.1,1.38,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-36_aggregate,University of Melbourne,1.8,0.2,11.44,Unknown,103,100x oil immersion,MU19-36,,
0.1,1.67,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-37_aggregate,University of Melbourne,1.95,0.2,11.47,Unknown,104,100x oil immersion,MU19-37,,
0.1,1.66,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-39_aggregate,University of Melbourne,1.92,0.2,11.99,Unknown,109,100x oil immersion,MU19-39,,
0.2,2.09,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-47_aggregate,University of Melbourne,2.11,0.2,12.09,Unknown,118,100x oil immersion,MU19-47,,
0.1,1.55,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-48_aggregate,University of Melbourne,2.08,0.4,10.15,Unknown,25,100x oil immersion,MU19-48,,
0.2,1.57,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-49_aggregate,University of Melbourne,1.65,0.2,12.26,Unknown,108,100x oil immersion,MU19-49,,
0.1,1.38,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-50_aggregate,University of Melbourne,1.97,0.2,11.85,Unknown,112,100x oil immersion,MU19-50,,
0.2,1.28,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-51_aggregate,University of Melbourne,2.06,0.2,12.22,Unknown,102,100x oil immersion,MU19-51,,
0.4,1.81,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-52_aggregate,University of Melbourne,1.77,0.2,10.99,Unknown,111,100x oil immersion,MU19-52,,
0.2,1.55,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-53_aggregate,University of Melbourne,1.97,0.2,11.23,Unknown,78,100x oil immersion,MU19-53,,
0.2,1.34,,,,M_McMillan,,,,False,,,"5.5M HNO3, 20s, 21°C",digital,FastTracks,TINT,MU19-54_aggregate,University of Melbourne,2.2,0.3,11.51,Unknown,47,100x oil immersion,MU19-54,,
