sample_id,datapoint_key,grain_id,he4_ncc,mass_mg,u_ppm,th_ppm,sm_ppm,eu_ppm,he4_uncorr_age_ma,he4_uncorr_age_error_ma,ft_value,he4_corr_age_ma,he4_corr_age_error_ma
,undefined_HE001,,7.778,,18.7,8.3,57.9,20.7,,,,,
,undefined_HE001,,1.056,,6.6,2.1,25.7,7.1,,,,,
,undefined_HE001,,0.259,,7.5,2.1,24.7,8.0,,,,,
,undefined_HE001,,0.201,,6.4,2.2,17.8,6.9,,,,,
,undefined_HE001,,0.857,,18.1,4.4,61.8,19.1,,,,,
,undefined_HE001,,0.117,,9.6,2.9,65.9,10.3,,,,,
,undefined_HE001,,0.225,,12.2,1.9,69.1,12.6,,,,,
,undefined_HE001,,0.329,,6.0,1.3,74.7,6.3,,,,,
,undefined_HE001,,0.278,,6.1,1.2,80.9,6.4,,,,,
,undefined_HE001,,0.474,,5.5,4.5,43.7,6.6,,,,,
,undefined_HE001,,1.469,,7.3,1.0,59.0,7.5,,,,,
,undefined_HE001,,0.914,,6.7,0.4,64.3,6.8,,,,,
,undefined_HE001,,1.382,,10.8,4.0,163.1,11.7,,,,,
,undefined_HE001,,0.213,,3.0,0.6,36.7,3.1,,,,,
,undefined_HE001,,0.647,,7.7,30.0,129.8,14.8,,,,,
,undefined_HE001,,0.309,,2.4,0.9,74.5,2.6,,,,,
,undefined_HE001,,0.204,,1.0,1.3,39.7,1.3,,,,,
,undefined_HE001,,0.657,,4.4,2.4,77.0,5.0,,,,,
,undefined_HE001,,0.722,,11.5,28.3,137.6,18.2,,,,,
,undefined_HE001,,0.786,,27.7,4.2,49.4,28.7,,,,,
,undefined_HE001,,3.462,,36.8,4.8,68.8,37.9,,,,,
,undefined_HE001,,1.295,,28.7,4.2,113.4,29.7,,,,,
,undefined_HE001,,1.076,,13.3,2.7,55.2,13.9,,,,,
,undefined_HE001,,3.854,,30.3,4.1,79.3,31.3,,,,,
,undefined_HE001,,0.248,,6.7,3.8,26.4,7.6,,,,,
,undefined_HE001,,0.625,,5.6,7.4,39.3,7.3,,,,,
,undefined_HE001,,1.357,,20.2,9.7,78.0,22.5,,,,,
,undefined_HE001,,0.454,,9.7,3.7,48.2,10.6,,,,,
,undefined_HE001,,1.578,,21.0,17.7,83.9,25.2,,,,,
,undefined_HE001,,0.354,,2.1,0.7,102.0,2.3,,,,,
,undefined_HE001,,0.968,,2.0,1.7,61.1,2.4,,,,,
,undefined_HE001,,1.385,,5.9,1.6,136.5,6.3,,,,,
,undefined_HE001,,0.064,,0.8,2.8,125.6,1.5,,,,,
,undefined_HE001,,0.122,,1.2,1.8,67.7,1.6,,,,,
,undefined_HE001,,0.125,,2.1,0.8,194.9,2.3,,,,,
,undefined_HE001,,1.532,,2.4,0.3,196.1,2.5,,,,,
,undefined_HE001,,0.293,,4.7,2.2,194.4,5.2,,,,,
,undefined_HE001,,0.050,,2.2,1.6,172.2,2.6,,,,,
,undefined_HE001,,0.240,,2.7,0.7,209.3,2.9,,,,,
,undefined_HE001,,0.280,,2.7,0.6,82.9,2.8,,,,,
,undefined_HE001,,0.848,,4.5,1.0,148.8,4.7,,,,,
,undefined_HE001,,0.050,,2.4,5.4,260.9,3.7,,,,,
,undefined_HE001,,0.058,,1.7,1.2,52.2,2.0,,,,,
,undefined_HE001,,0.042,,1.0,1.0,53.8,1.2,,,,,
,undefined_HE001,,1.058,,11.8,2.2,12.0,12.3,,,,,
,undefined_HE001,,0.172,,6.1,1.5,17.2,6.5,,,,,
,undefined_HE001,,0.341,,15.4,2.7,22.0,16.0,,,,,
,undefined_HE001,,0.784,,18.7,1.5,34.4,19.1,,,,,
,undefined_HE001,,0.464,,6.6,1.5,9.7,7.0,,,,,
,undefined_HE001,,0.025,,1.6,2.1,14.0,2.1,,,,,
,undefined_HE001,,0.111,,1.6,1.2,5.3,1.9,,,,,
,undefined_HE001,,1.372,,12.7,2.8,69.1,13.4,,,,,
,undefined_HE001,,0.313,,1.9,0.5,5.5,2.0,,,,,
,undefined_HE001,,0.274,,3.0,1.0,22.5,3.2,,,,,
,undefined_HE001,,0.480,,3.7,0.2,98.7,3.7,,,,,
,undefined_HE001,,0.201,,4.2,0.9,127.4,4.4,,,,,
,undefined_HE001,,0.569,,7.5,0.7,113.8,7.7,,,,,
,undefined_HE001,,0.132,,2.7,0.5,81.8,2.8,,,,,
,undefined_HE001,,0.630,,3.9,0.3,116.2,4.0,,,,,
,undefined_HE001,,0.325,,3.3,0.7,115.3,3.5,,,,,
,undefined_HE001,,1.021,,6.9,0.7,128.0,7.1,,,,,
,undefined_HE001,,0.891,,11.1,1.4,179.9,11.4,,,,,
,undefined_HE001,,0.663,,5.5,1.0,118.7,5.7,,,,,
