sample_id,dataset_id,mineral_type,lithology,latitude,longitude,n_aft_grains,n_ahe_grains
MU19-05,5,apatite,Precambrian basement,-13.5,34.8,22,0
MU19-06,5,apatite,Precambrian basement,-13.5,34.8,32,0
MU19-08,5,apatite,Precambrian basement,-13.5,34.8,35,0
MU19-09,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-11,5,apatite,Precambrian basement,-13.5,34.8,30,0
MU19-12,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-13,5,apatite,Precambrian basement,-13.5,34.8,32,0
MU19-14,5,apatite,Precambrian basement,-13.5,34.8,32,0
MU19-15,5,apatite,Precambrian basement,-13.5,34.8,27,0
MU19-16,5,apatite,Precambrian basement,-13.5,34.8,31,0
MU19-17,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-18,5,apatite,Precambrian basement,-13.5,34.8,28,0
MU19-20,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-22,5,apatite,Precambrian basement,-13.5,34.8,15,0
MU19-23,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-24,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-25,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-26,5,apatite,Precambrian basement,-13.5,34.8,32,0
MU19-28,5,apatite,Precambrian basement,-13.5,34.8,24,0
MU19-29,5,apatite,Precambrian basement,-13.5,34.8,20,0
MU19-30,5,apatite,Precambrian basement,-13.5,34.8,30,0
MU19-33,5,apatite,Precambrian basement,-13.5,34.8,32,0
MU19-34,5,apatite,Precambrian basement,-13.5,34.8,26,0
MU19-36,5,apatite,Precambrian basement,-13.5,34.8,32,0
MU19-37,5,apatite,Precambrian basement,-13.5,34.8,31,0
MU19-39,5,apatite,Precambrian basement,-13.5,34.8,32,0
MU19-47,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-48,5,apatite,Precambrian basement,-13.5,34.8,13,0
MU19-49,5,apatite,Precambrian basement,-13.5,34.8,24,0
MU19-50,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-51,5,apatite,Precambrian basement,-13.5,34.8,33,0
MU19-52,5,apatite,Precambrian basement,-13.5,34.8,21,0
MU19-53,5,apatite,Precambrian basement,-13.5,34.8,24,0
MU19-54,5,apatite,Precambrian basement,-13.5,34.8,36,0
